Stakeholder Requirement Id;Stakeholder Requirement;System Requirement Id;System Requirement;Test Case Id;Test Case;QM Test Result Id;System Requirement 1 Id;System Requirement 1;QM Test Case 1 Id;QM Test Result;QM Test Case 1;QM Test Script 1 Id;QM Test Script 1
4118;The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than 5 minutes.;;;;;;;;;;;;
4060;The UAV shall communicate with the Pilot Controller and a maximum of at least 4 Viewers.;;;;;;;;;;;;
4145;The UAV shall be able to simultaneously transmit video feed to the Pilot and up to 4 separate UAV Viewer devices.;;;;;;;;;;;;
4095;The UAV visual feed shall be free of motion artifacts for slow and moderate speed elements in its visual field.;;;;;;;;;;;;
4066;Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.;;;;;;;;;;;;
4162;The Viewer shall not be able to influence the flight or camera functions of the UAV.;;;;;;;;;;;;
4142;The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.;;;;;;;;;;;;
4130;The aircraft shall be known as the Hummingbird.;;;;;;;;;;;;
4144;The Pilot controller shall detect instances of communication loss and automatically reconnect, if possible.;;;;;;;;;;;;
4023;The UAV shall be visible to observers to at least 100m in daylight and 25m at night.;;;;;;;;;;;;
4137;The UAB shall periodically send the Pilot the power and estimated flight time remaining.;;;;;;;;;;;;
4112;The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as the Hummingbird), and up to 4 Viewers (apps running on smart phones or computers).;;;;;;;;;;;;
4113;The Pilot controller shall connect or disconnect to at most one Hummingbird in a secure fashion at any time.;;;;;;;;;;;;
4017;The UAV shall be able to autonomously a flight plan consisting of a set of waypoints within its range and flight capabilities.;4057;The Aviary shall support autonomous mission plans as well as Pilot-directed flight.;;;;;;;;;;
4102;The Pilot controller shall be able to define, upload, initiation, follow, and terminate a flight plan to the Hummingbird consisting of a set of waypoints within the flight range of the Hummingbird.;;;;;;;;;;;;
4068;The Viewer shall connect with the custom communication wireless network provided by the Aviary SoS.;;;;;;;;;;;;
4055;The Pilot shall be able to set the zoom, aim and focus of the UAV camera in real-time.;;;;;;;;;;;;
4041;The UAV shall support a stealth mode in which it emits no light during flight, which may be enabled or disabled from the Pilot control.;;;;;;;;;;;;
4148;The UAV shall fully charge in less than 3 hours.;;;;;;;;;;;;
4139;The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all directions from pointing directly down.;;;;;;;;;;;;
4158;The UAV shall only transmit information to authenticated devices.;;;;;;;;;;;;
4097;The Pilot shall rotate the UAV independently from its direction of travel.;;;;;;;;;;;;
4151;The UAV shall only accept commands from an authenticated Pilot controller.;;;;;;;;;;;;
4124;The UAV flight range shall be no less than 20 miles.;;;;;;;;;;;;
4153;The UAV shall send real-time altitude-above-floor information to the Pilot to facilitate landing, take off and object avoidance.;;;;;;;;;;;;
4047;These are the customer requirements for the Aviary System of Systems.;;;;;;;;;;;;
4141;The UAV Viewer (also known as the “Viewer”) shall connect to the UAV in a secure fashion.;;;;;;;;;;;;
4050;The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.;;;;;;;;;;;;
4043;The Pilot shall be able to fly the UAV in any direction with respect to the UAV’s “forward looking” position.;;;;;;;;;;;;
4070;The Pilot shall be able to control the speed of flight from 0 to maximum speed in any direction in a smooth fashion.;;;;;;;;;;;;
4117;A single adult shall be able to lift and carry the UAV.;;;;;;;;;;;;
4084;The UAV shall be able to fly above an average 70 story building;;;;;;;;;;;;
4072;The UAV’s direction of flight shall be independent of its yaw (horizontal rotational orientation).;;;;;;;;;;;;
5116;The Aviary shall support autonomous tracking of a target;5115;The Aviary shall be capable of tracking a designated target;;;;5114;The Hummingbird shall re-acquire a lost target within 15 seconds;153;;Target Re-Acquisition Test;;
5116;The Aviary shall support autonomous tracking of a target;5115;The Aviary shall be capable of tracking a designated target;;;;5113;The Hummingbird shall autonomously track a designated target;152;;Target Tracking Test;;
